,Municipios,Sexo,Periodo,Total
119,16001,Hombres,2016,48.0
120,16001,Hombres,2015,49.0
121,16001,Hombres,2014,50.0
122,16001,Hombres,2013,54.0
123,16001,Hombres,2012,51.0
124,16001,Hombres,2011,49.0
125,16001,Hombres,2010,47.0
126,16001,Hombres,2009,48.0
127,16001,Hombres,2008,45.0
128,16001,Hombres,2007,45.0
129,16001,Hombres,2006,48.0
130,16001,Hombres,2005,48.0
131,16001,Hombres,2004,48.0
132,16001,Hombres,2003,49.0
133,16001,Hombres,2002,49.0
134,16001,Hombres,2001,45.0
135,16001,Hombres,2000,46.0
136,16001,Hombres,1999,46.0
137,16001,Hombres,1998,48.0
138,16001,Hombres,1997,
139,16001,Hombres,1996,50.0
140,16001,Mujeres,2023,23.0
141,16001,Mujeres,2022,23.0
142,16001,Mujeres,2021,22.0
143,16001,Mujeres,2020,24.0
144,16001,Mujeres,2019,25.0
145,16001,Mujeres,2018,25.0
146,16001,Mujeres,2017,26.0
147,16001,Mujeres,2016,29.0
148,16001,Mujeres,2015,28.0
149,16001,Mujeres,2014,30.0
150,16001,Mujeres,2013,29.0
151,16001,Mujeres,2012,30.0
152,16001,Mujeres,2011,27.0
153,16001,Mujeres,2010,26.0
154,16001,Mujeres,2009,32.0
155,16001,Mujeres,2008,32.0
156,16001,Mujeres,2007,33.0
157,16001,Mujeres,2006,40.0
158,16001,Mujeres,2005,36.0
159,16001,Mujeres,2004,40.0
160,16001,Mujeres,2003,40.0
161,16001,Mujeres,2002,36.0
162,16001,Mujeres,2001,38.0
163,16001,Mujeres,2000,39.0
164,16001,Mujeres,1999,39.0
165,16001,Mujeres,1998,40.0
166,16001,Mujeres,1997,
167,16001,Mujeres,1996,43.0
168,16002,Total,2023,226.0
169,16002,Total,2022,231.0
170,16002,Total,2021,227.0
171,16002,Total,2020,231.0
172,16002,Total,2019,234.0
173,16002,Total,2018,234.0
174,16002,Total,2017,237.0
175,16002,Total,2016,236.0
176,16002,Total,2015,241.0
177,16002,Total,2014,238.0
178,16002,Total,2013,238.0
179,16002,Total,2012,266.0
180,16002,Total,2011,267.0
181,16002,Total,2010,286.0
182,16002,Total,2009,282.0
183,16002,Total,2008,268.0
184,16002,Total,2007,268.0
185,16002,Total,2006,253.0
186,16002,Total,2005,265.0
187,16002,Total,2004,269.0
188,16002,Total,2003,271.0
189,16002,Total,2002,278.0
190,16002,Total,2001,290.0
191,16002,Total,2000,284.0
192,16002,Total,1999,275.0
193,16002,Total,1998,279.0
194,16002,Total,1997,
195,16002,Total,1996,289.0
196,16002,Hombres,2023,111.0
197,16002,Hombres,2022,110.0
198,16002,Hombres,2021,107.0
199,16002,Hombres,2020,111.0
200,16002,Hombres,2019,115.0
201,16002,Hombres,2018,116.0
202,16002,Hombres,2017,116.0
203,16002,Hombres,2016,114.0
204,16002,Hombres,2015,121.0
205,16002,Hombres,2014,120.0
206,16002,Hombres,2013,122.0
207,16002,Hombres,2012,136.0
208,16002,Hombres,2011,135.0
209,16002,Hombres,2010,148.0
210,16002,Hombres,2009,147.0
211,16002,Hombres,2008,138.0
212,16002,Hombres,2007,136.0
213,16002,Hombres,2006,129.0
214,16002,Hombres,2005,138.0
215,16002,Hombres,2004,138.0
216,16002,Hombres,2003,138.0
217,16002,Hombres,2002,143.0
218,16002,Hombres,2001,146.0
219,16002,Hombres,2000,142.0
220,16002,Hombres,1999,138.0
221,16002,Hombres,1998,142.0
222,16002,Hombres,1997,
223,16002,Hombres,1996,147.0
224,16002,Mujeres,2023,115.0
225,16002,Mujeres,2022,121.0
226,16002,Mujeres,2021,120.0
227,16002,Mujeres,2020,120.0
228,16002,Mujeres,2019,119.0
229,16002,Mujeres,2018,118.0
230,16002,Mujeres,2017,121.0
231,16002,Mujeres,2016,122.0
232,16002,Mujeres,2015,120.0
233,16002,Mujeres,2014,118.0
234,16002,Mujeres,2013,116.0
235,16002,Mujeres,2012,130.0
236,16002,Mujeres,2011,132.0
237,16002,Mujeres,2010,138.0
238,16002,Mujeres,2009,135.0
239,16002,Mujeres,2008,130.0
240,16002,Mujeres,2007,132.0
241,16002,Mujeres,2006,124.0
242,16002,Mujeres,2005,127.0
243,16002,Mujeres,2004,131.0
244,16002,Mujeres,2003,133.0
245,16002,Mujeres,2002,135.0
246,16002,Mujeres,2001,144.0
247,16002,Mujeres,2000,142.0
248,16002,Mujeres,1999,137.0
249,16002,Mujeres,1998,137.0
250,16002,Mujeres,1997,
251,16002,Mujeres,1996,142.0
252,16003,Total,2023,172.0
253,16003,Total,2022,152.0
254,16003,Total,2021,151.0
255,16003,Total,2020,156.0
256,16003,Total,2019,148.0
257,16003,Total,2018,153.0
258,16003,Total,2017,148.0
259,16003,Total,2016,148.0
260,16003,Total,2015,148.0
261,16003,Total,2014,149.0
262,16003,Total,2013,159.0
263,16003,Total,2012,186.0
264,16003,Total,2011,189.0
265,16003,Total,2010,177.0
266,16003,Total,2009,191.0
267,16003,Total,2008,181.0
268,16003,Total,2007,176.0
269,16003,Total,2006,176.0
270,16003,Total,2005,176.0
271,16003,Total,2004,182.0
272,16003,Total,2003,174.0
273,16003,Total,2002,182.0
274,16003,Total,2001,193.0
275,16003,Total,2000,208.0
276,16003,Total,1999,205.0
277,16003,Total,1998,204.0
278,16003,Total,1997,
279,16003,Total,1996,215.0
280,16003,Hombres,2023,79.0
281,16003,Hombres,2022,69.0
282,16003,Hombres,2021,69.0
283,16003,Hombres,2020,69.0
284,16003,Hombres,2019,67.0
285,16003,Hombres,2018,70.0
286,16003,Hombres,2017,68.0
287,16003,Hombres,2016,66.0
288,16003,Hombres,2015,66.0
289,16003,Hombres,2014,68.0
290,16003,Hombres,2013,75.0
291,16003,Hombres,2012,88.0
292,16003,Hombres,2011,86.0
293,16003,Hombres,2010,81.0
294,16003,Hombres,2009,88.0
295,16003,Hombres,2008,79.0
296,16003,Hombres,2007,78.0
297,16003,Hombres,2006,81.0
298,16003,Hombres,2005,80.0
299,16003,Hombres,2004,83.0
300,16003,Hombres,2003,82.0
301,16003,Hombres,2002,86.0
302,16003,Hombres,2001,90.0
303,16003,Hombres,2000,97.0
304,16003,Hombres,1999,99.0
305,16003,Hombres,1998,101.0
306,16003,Hombres,1997,
307,16003,Hombres,1996,109.0
308,16003,Mujeres,2023,93.0
309,16003,Mujeres,2022,83.0
310,16003,Mujeres,2021,82.0
311,16003,Mujeres,2020,87.0
312,16003,Mujeres,2019,81.0
313,16003,Mujeres,2018,83.0
314,16003,Mujeres,2017,80.0
315,16003,Mujeres,2016,82.0
316,16003,Mujeres,2015,82.0
317,16003,Mujeres,2014,81.0
318,16003,Mujeres,2013,84.0
319,16003,Mujeres,2012,98.0
320,16003,Mujeres,2011,103.0
321,16003,Mujeres,2010,96.0
322,16003,Mujeres,2009,103.0
323,16003,Mujeres,2008,102.0
324,16003,Mujeres,2007,98.0
325,16003,Mujeres,2006,95.0
326,16003,Mujeres,2005,96.0
327,16003,Mujeres,2004,99.0
328,16003,Mujeres,2003,92.0
329,16003,Mujeres,2002,96.0
330,16003,Mujeres,2001,103.0
331,16003,Mujeres,2000,111.0
332,16003,Mujeres,1999,106.0
333,16003,Mujeres,1998,103.0
334,16003,Mujeres,1997,
335,16003,Mujeres,1996,106.0
336,16004,Total,2023,225.0
337,16004,Total,2022,230.0
338,16004,Total,2021,236.0
339,16004,Total,2020,245.0
340,16004,Total,2019,245.0
341,16004,Total,2018,252.0
342,16004,Total,2017,263.0
343,16004,Total,2016,276.0
344,16004,Total,2015,292.0
345,16004,Total,2014,301.0
346,16004,Total,2013,308.0
347,16004,Total,2012,322.0
348,16004,Total,2011,345.0
349,16004,Total,2010,336.0
350,16004,Total,2009,350.0
351,16004,Total,2008,360.0
352,16004,Total,2007,379.0
353,16004,Total,2006,366.0
354,16004,Total,2005,383.0
355,16004,Total,2004,378.0
356,16004,Total,2003,379.0
357,16004,Total,2002,385.0
358,16004,Total,2001,395.0
359,16004,Total,2000,411.0
360,16004,Total,1999,415.0
361,16004,Total,1998,413.0
362,16004,Total,1997,
363,16004,Total,1996,412.0
364,16004,Hombres,2023,120.0
365,16004,Hombres,2022,122.0
366,16004,Hombres,2021,125.0
367,16004,Hombres,2020,133.0
368,16004,Hombres,2019,127.0
369,16004,Hombres,2018,134.0
370,16004,Hombres,2017,132.0
371,16004,Hombres,2016,139.0
372,16004,Hombres,2015,150.0
373,16004,Hombres,2014,157.0
374,16004,Hombres,2013,159.0
375,16004,Hombres,2012,169.0
376,16004,Hombres,2011,178.0
377,16004,Hombres,2010,176.0
378,16004,Hombres,2009,186.0
379,16004,Hombres,2008,188.0
380,16004,Hombres,2007,204.0
381,16004,Hombres,2006,195.0
382,16004,Hombres,2005,200.0
383,16004,Hombres,2004,198.0
384,16004,Hombres,2003,196.0
385,16004,Hombres,2002,198.0
386,16004,Hombres,2001,204.0
387,16004,Hombres,2000,214.0
388,16004,Hombres,1999,219.0
389,16004,Hombres,1998,216.0
390,16004,Hombres,1997,
391,16004,Hombres,1996,220.0
392,16004,Mujeres,2023,105.0
393,16004,Mujeres,2022,108.0
394,16004,Mujeres,2021,111.0
395,16004,Mujeres,2020,112.0
396,16004,Mujeres,2019,118.0
397,16004,Mujeres,2018,118.0
398,16004,Mujeres,2017,131.0
399,16004,Mujeres,2016,137.0
400,16004,Mujeres,2015,142.0
401,16004,Mujeres,2014,144.0
402,16004,Mujeres,2013,149.0
403,16004,Mujeres,2012,153.0
404,16004,Mujeres,2011,167.0
405,16004,Mujeres,2010,160.0
406,16004,Mujeres,2009,164.0
407,16004,Mujeres,2008,172.0
408,16004,Mujeres,2007,175.0
409,16004,Mujeres,2006,171.0
410,16004,Mujeres,2005,183.0
411,16004,Mujeres,2004,180.0
412,16004,Mujeres,2003,183.0
413,16004,Mujeres,2002,187.0
414,16004,Mujeres,2001,191.0
415,16004,Mujeres,2000,197.0
416,16004,Mujeres,1999,196.0
417,16004,Mujeres,1998,197.0
418,16004,Mujeres,1997,
419,16004,Mujeres,1996,192.0
420,16005,Total,2023,267.0
421,16005,Total,2022,259.0
422,16005,Total,2021,256.0
423,16005,Total,2020,257.0
424,16005,Total,2019,253.0
425,16005,Total,2018,268.0
426,16005,Total,2017,276.0
427,16005,Total,2016,276.0
428,16005,Total,2015,272.0
429,16005,Total,2014,288.0
430,16005,Total,2013,297.0
431,16005,Total,2012,312.0
432,16005,Total,2011,299.0
433,16005,Total,2010,302.0
434,16005,Total,2009,296.0
435,16005,Total,2008,300.0
436,16005,Total,2007,303.0
437,16005,Total,2006,317.0
438,16005,Total,2005,345.0
439,16005,Total,2004,365.0
440,16005,Total,2003,345.0
441,16005,Total,2002,356.0
442,16005,Total,2001,368.0
443,16005,Total,2000,378.0
444,16005,Total,1999,387.0
445,16005,Total,1998,383.0
446,16005,Total,1997,
447,16005,Total,1996,402.0
448,16005,Hombres,2023,137.0
449,16005,Hombres,2022,134.0
450,16005,Hombres,2021,137.0
451,16005,Hombres,2020,137.0
452,16005,Hombres,2019,132.0
453,16005,Hombres,2018,142.0
454,16005,Hombres,2017,144.0
455,16005,Hombres,2016,145.0
456,16005,Hombres,2015,146.0
457,16005,Hombres,2014,157.0
458,16005,Hombres,2013,160.0
459,16005,Hombres,2012,169.0
460,16005,Hombres,2011,166.0
461,16005,Hombres,2010,174.0
462,16005,Hombres,2009,168.0
463,16005,Hombres,2008,168.0
464,16005,Hombres,2007,165.0
465,16005,Hombres,2006,176.0
466,16005,Hombres,2005,193.0
467,16005,Hombres,2004,199.0
468,16005,Hombres,2003,191.0
469,16005,Hombres,2002,188.0
470,16005,Hombres,2001,192.0
471,16005,Hombres,2000,201.0
472,16005,Hombres,1999,211.0
473,16005,Hombres,1998,211.0
474,16005,Hombres,1997,
475,16005,Hombres,1996,218.0
476,16005,Mujeres,2023,130.0
477,16005,Mujeres,2022,125.0
478,16005,Mujeres,2021,119.0
479,16005,Mujeres,2020,120.0
480,16005,Mujeres,2019,121.0
481,16005,Mujeres,2018,126.0
482,16005,Mujeres,2017,132.0
483,16005,Mujeres,2016,131.0
484,16005,Mujeres,2015,126.0
485,16005,Mujeres,2014,131.0
486,16005,Mujeres,2013,137.0
487,16005,Mujeres,2012,143.0
488,16005,Mujeres,2011,133.0
489,16005,Mujeres,2010,128.0
490,16005,Mujeres,2009,128.0
491,16005,Mujeres,2008,132.0
492,16005,Mujeres,2007,138.0
493,16005,Mujeres,2006,141.0
494,16005,Mujeres,2005,152.0
495,16005,Mujeres,2004,166.0
496,16005,Mujeres,2003,154.0
497,16005,Mujeres,2002,168.0
498,16005,Mujeres,2001,176.0
499,16005,Mujeres,2000,177.0
500,16005,Mujeres,1999,176.0
501,16005,Mujeres,1998,172.0
502,16005,Mujeres,1997,
503,16005,Mujeres,1996,184.0
504,16006,Total,2023,118.0
505,16006,Total,2022,122.0
506,16006,Total,2021,122.0
507,16006,Total,2020,125.0
508,16006,Total,2019,121.0
509,16006,Total,2018,125.0
510,16006,Total,2017,130.0
511,16006,Total,2016,134.0
512,16006,Total,2015,134.0
513,16006,Total,2014,144.0
514,16006,Total,2013,157.0
515,16006,Total,2012,161.0
516,16006,Total,2011,157.0
517,16006,Total,2010,164.0
518,16006,Total,2009,161.0
519,16006,Total,2008,161.0
520,16006,Total,2007,168.0
521,16006,Total,2006,160.0
522,16006,Total,2005,170.0
523,16006,Total,2004,166.0
524,16006,Total,2003,174.0
525,16006,Total,2002,169.0
526,16006,Total,2001,175.0
527,16006,Total,2000,178.0
528,16006,Total,1999,186.0
529,16006,Total,1998,190.0
530,16006,Total,1997,
531,16006,Total,1996,197.0
532,16006,Hombres,2023,58.0
533,16006,Hombres,2022,57.0
534,16006,Hombres,2021,58.0
535,16006,Hombres,2020,61.0
536,16006,Hombres,2019,57.0
537,16006,Hombres,2018,58.0
538,16006,Hombres,2017,60.0
539,16006,Hombres,2016,63.0
540,16006,Hombres,2015,64.0
541,16006,Hombres,2014,67.0
542,16006,Hombres,2013,74.0
543,16006,Hombres,2012,77.0
544,16006,Hombres,2011,74.0
545,16006,Hombres,2010,78.0
546,16006,Hombres,2009,79.0
547,16006,Hombres,2008,82.0
548,16006,Hombres,2007,88.0
549,16006,Hombres,2006,79.0
550,16006,Hombres,2005,87.0
551,16006,Hombres,2004,85.0
552,16006,Hombres,2003,90.0
553,16006,Hombres,2002,87.0
554,16006,Hombres,2001,92.0
555,16006,Hombres,2000,90.0
556,16006,Hombres,1999,93.0
557,16006,Hombres,1998,94.0
558,16006,Hombres,1997,
559,16006,Hombres,1996,97.0
560,16006,Mujeres,2023,60.0
561,16006,Mujeres,2022,65.0
562,16006,Mujeres,2021,64.0
563,16006,Mujeres,2020,64.0
564,16006,Mujeres,2019,64.0
565,16006,Mujeres,2018,67.0
566,16006,Mujeres,2017,70.0
567,16006,Mujeres,2016,71.0
568,16006,Mujeres,2015,70.0
569,16006,Mujeres,2014,77.0
570,16006,Mujeres,2013,83.0
571,16006,Mujeres,2012,84.0
572,16006,Mujeres,2011,83.0
573,16006,Mujeres,2010,86.0
574,16006,Mujeres,2009,82.0
575,16006,Mujeres,2008,79.0
576,16006,Mujeres,2007,80.0
577,16006,Mujeres,2006,81.0
578,16006,Mujeres,2005,83.0
579,16006,Mujeres,2004,81.0
580,16006,Mujeres,2003,84.0
581,16006,Mujeres,2002,82.0
582,16006,Mujeres,2001,83.0
583,16006,Mujeres,2000,88.0
584,16006,Mujeres,1999,93.0
585,16006,Mujeres,1998,96.0
586,16006,Mujeres,1997,
587,16006,Mujeres,1996,100.0
588,16007,Total,2023,1.553
589,16007,Total,2022,1.585
590,16007,Total,2021,1.581
591,16007,Total,2020,1.608
592,16007,Total,2019,1.59
593,16007,Total,2018,1.59
594,16007,Total,2017,1.622
595,16007,Total,2016,1.651
596,16007,Total,2015,1.723
597,16007,Total,2014,1.769
598,16007,Total,2013,1.612
599,16007,Total,2012,1.962
600,16007,Total,2011,1.963
601,16007,Total,2010,1.976
602,16007,Total,2009,1.948
603,16007,Total,2008,1.93
604,16007,Total,2007,1.901
605,16007,Total,2006,2.01
606,16007,Total,2005,1.974
607,16007,Total,2004,1.829
608,16007,Total,2003,1.859
609,16007,Total,2002,1.78
610,16007,Total,2001,1.756
611,16007,Total,2000,1.741
612,16007,Total,1999,1.774
613,16007,Total,1998,1.728
614,16007,Total,1997,
615,16007,Total,1996,1.769
616,16007,Hombres,2023,785.0
617,16007,Hombres,2022,800.0
618,16007,Hombres,2021,808.0
619,16007,Hombres,2020,824.0
620,16007,Hombres,2019,807.0
621,16007,Hombres,2018,802.0
622,16007,Hombres,2017,826.0
623,16007,Hombres,2016,845.0
624,16007,Hombres,2015,881.0
625,16007,Hombres,2014,914.0
626,16007,Hombres,2013,824.0
627,16007,Hombres,2012,1.017
628,16007,Hombres,2011,1.021
629,16007,Hombres,2010,1.027
630,16007,Hombres,2009,992.0
631,16007,Hombres,2008,993.0
632,16007,Hombres,2007,986.0
633,16007,Hombres,2006,1.057
634,16007,Hombres,2005,1.028
635,16007,Hombres,2004,927.0
636,16007,Hombres,2003,921.0
637,16007,Hombres,2002,884.0
638,16007,Hombres,2001,869.0
639,16007,Hombres,2000,857.0
640,16007,Hombres,1999,881.0
641,16007,Hombres,1998,855.0
642,16007,Hombres,1997,
643,16007,Hombres,1996,874.0
644,16007,Mujeres,2023,768.0
645,16007,Mujeres,2022,785.0
646,16007,Mujeres,2021,773.0
647,16007,Mujeres,2020,784.0
648,16007,Mujeres,2019,783.0
649,16007,Mujeres,2018,788.0
650,16007,Mujeres,2017,796.0
651,16007,Mujeres,2016,806.0
652,16007,Mujeres,2015,842.0
653,16007,Mujeres,2014,855.0
654,16007,Mujeres,2013,788.0
655,16007,Mujeres,2012,945.0
656,16007,Mujeres,2011,942.0
657,16007,Mujeres,2010,949.0
658,16007,Mujeres,2009,956.0
659,16007,Mujeres,2008,937.0
660,16007,Mujeres,2007,915.0
661,16007,Mujeres,2006,953.0
662,16007,Mujeres,2005,946.0
663,16007,Mujeres,2004,902.0
664,16007,Mujeres,2003,938.0
665,16007,Mujeres,2002,896.0
666,16007,Mujeres,2001,887.0
667,16007,Mujeres,2000,884.0
668,16007,Mujeres,1999,893.0
669,16007,Mujeres,1998,873.0
670,16007,Mujeres,1997,
671,16007,Mujeres,1996,895.0
672,16008,Total,2023,79.0
673,16008,Total,2022,79.0
674,16008,Total,2021,85.0
675,16008,Total,2020,90.0
676,16008,Total,2019,93.0
677,16008,Total,2018,90.0
678,16008,Total,2017,90.0
679,16008,Total,2016,97.0
680,16008,Total,2015,105.0
681,16008,Total,2014,107.0
682,16008,Total,2013,111.0
683,16008,Total,2012,128.0
684,16008,Total,2011,152.0
685,16008,Total,2010,139.0
686,16008,Total,2009,151.0
687,16008,Total,2008,158.0
688,16008,Total,2007,144.0
689,16008,Total,2006,152.0
690,16008,Total,2005,159.0
691,16008,Total,2004,160.0
692,16008,Total,2003,169.0
693,16008,Total,2002,171.0
694,16008,Total,2001,174.0
695,16008,Total,2000,176.0
696,16008,Total,1999,172.0
697,16008,Total,1998,164.0
698,16008,Total,1997,
699,16008,Total,1996,166.0
700,16008,Hombres,2023,46.0
701,16008,Hombres,2022,45.0
702,16008,Hombres,2021,52.0
703,16008,Hombres,2020,52.0
704,16008,Hombres,2019,55.0
705,16008,Hombres,2018,50.0
706,16008,Hombres,2017,50.0
707,16008,Hombres,2016,51.0
708,16008,Hombres,2015,57.0
709,16008,Hombres,2014,58.0
710,16008,Hombres,2013,61.0
711,16008,Hombres,2012,69.0
712,16008,Hombres,2011,80.0
713,16008,Hombres,2010,73.0
714,16008,Hombres,2009,82.0
715,16008,Hombres,2008,86.0
716,16008,Hombres,2007,76.0
717,16008,Hombres,2006,80.0
718,16008,Hombres,2005,82.0
719,16008,Hombres,2004,84.0
720,16008,Hombres,2003,88.0
721,16008,Hombres,2002,88.0
722,16008,Hombres,2001,92.0
723,16008,Hombres,2000,94.0
724,16008,Hombres,1999,95.0
725,16008,Hombres,1998,89.0
726,16008,Hombres,1997,
727,16008,Hombres,1996,90.0
728,16008,Mujeres,2023,33.0
729,16008,Mujeres,2022,34.0
730,16008,Mujeres,2021,33.0
731,16008,Mujeres,2020,38.0
732,16008,Mujeres,2019,38.0
733,16008,Mujeres,2018,40.0
734,16008,Mujeres,2017,40.0
735,16008,Mujeres,2016,46.0
736,16008,Mujeres,2015,48.0
737,16008,Mujeres,2014,49.0
738,16008,Mujeres,2013,50.0
739,16008,Mujeres,2012,59.0
740,16008,Mujeres,2011,72.0
741,16008,Mujeres,2010,66.0
742,16008,Mujeres,2009,69.0
743,16008,Mujeres,2008,72.0
744,16008,Mujeres,2007,68.0
745,16008,Mujeres,2006,72.0
746,16008,Mujeres,2005,77.0
747,16008,Mujeres,2004,76.0
748,16008,Mujeres,2003,81.0
749,16008,Mujeres,2002,83.0
750,16008,Mujeres,2001,82.0
751,16008,Mujeres,2000,82.0
752,16008,Mujeres,1999,77.0
753,16008,Mujeres,1998,75.0
754,16008,Mujeres,1997,
755,16008,Mujeres,1996,76.0
756,16009,Total,2023,53.0
757,16009,Total,2022,51.0
758,16009,Total,2021,48.0
759,16009,Total,2020,48.0
760,16009,Total,2019,51.0
761,16009,Total,2018,56.0
762,16009,Total,2017,60.0
763,16009,Total,2016,65.0
764,16009,Total,2015,72.0
765,16009,Total,2014,73.0
766,16009,Total,2013,81.0
767,16009,Total,2012,82.0
768,16009,Total,2011,85.0
769,16009,Total,2010,89.0
770,16009,Total,2009,90.0
771,16009,Total,2008,96.0
772,16009,Total,2007,105.0
773,16009,Total,2006,98.0
774,16009,Total,2005,98.0
775,16009,Total,2004,103.0
776,16009,Total,2003,109.0
777,16009,Total,2002,116.0
778,16009,Total,2001,117.0
779,16009,Total,2000,120.0
780,16009,Total,1999,127.0
781,16009,Total,1998,129.0
782,16009,Total,1997,
783,16009,Total,1996,136.0
784,16009,Hombres,2023,30.0
785,16009,Hombres,2022,29.0
786,16009,Hombres,2021,27.0
787,16009,Hombres,2020,27.0
788,16009,Hombres,2019,28.0
789,16009,Hombres,2018,32.0
790,16009,Hombres,2017,35.0
791,16009,Hombres,2016,35.0
792,16009,Hombres,2015,39.0
793,16009,Hombres,2014,40.0
794,16009,Hombres,2013,43.0
795,16009,Hombres,2012,43.0
796,16009,Hombres,2011,47.0
797,16009,Hombres,2010,47.0
798,16009,Hombres,2009,46.0
799,16009,Hombres,2008,50.0
800,16009,Hombres,2007,55.0
801,16009,Hombres,2006,52.0
802,16009,Hombres,2005,54.0
803,16009,Hombres,2004,57.0
804,16009,Hombres,2003,61.0
805,16009,Hombres,2002,62.0
806,16009,Hombres,2001,64.0
807,16009,Hombres,2000,65.0
808,16009,Hombres,1999,68.0
809,16009,Hombres,1998,69.0
810,16009,Hombres,1997,
811,16009,Hombres,1996,72.0
812,16009,Mujeres,2023,23.0
813,16009,Mujeres,2022,22.0
814,16009,Mujeres,2021,21.0
815,16009,Mujeres,2020,21.0
816,16009,Mujeres,2019,23.0
817,16009,Mujeres,2018,24.0
818,16009,Mujeres,2017,25.0
819,16009,Mujeres,2016,30.0
820,16009,Mujeres,2015,33.0
821,16009,Mujeres,2014,33.0
822,16009,Mujeres,2013,38.0
823,16009,Mujeres,2012,39.0
824,16009,Mujeres,2011,38.0
825,16009,Mujeres,2010,42.0
826,16009,Mujeres,2009,44.0
827,16009,Mujeres,2008,46.0
828,16009,Mujeres,2007,50.0
829,16009,Mujeres,2006,46.0
830,16009,Mujeres,2005,44.0
831,16009,Mujeres,2004,46.0
832,16009,Mujeres,2003,48.0
833,16009,Mujeres,2002,54.0
834,16009,Mujeres,2001,53.0
835,16009,Mujeres,2000,55.0
836,16009,Mujeres,1999,59.0
837,16009,Mujeres,1998,60.0
838,16009,Mujeres,1997,
839,16009,Mujeres,1996,64.0
840,16010,Total,2023,159.0
841,16010,Total,2022,134.0
842,16010,Total,2021,128.0
843,16010,Total,2020,142.0
844,16010,Total,2019,152.0
845,16010,Total,2018,137.0
846,16010,Total,2017,145.0
847,16010,Total,2016,159.0
848,16010,Total,2015,172.0
