Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-03-17 02:35","21560","21250","21264",
"2024-03-17 02:40","21403","21192","21264",
"2024-03-17 02:45","21202","21139","21124",
"2024-03-17 02:50","21284","21089","21124",
"2024-03-17 02:55","21250","21038","21124",
"2024-03-17 03:00","21112","20986","20934",
"2024-03-17 03:05","20927","20936","20934",
"2024-03-17 03:10","20962","20889","20934",
"2024-03-17 03:15","21218","20845","20827",
"2024-03-17 03:20","21031","20804","20827",
"2024-03-17 03:25","21014","20768","20827",
"2024-03-17 03:30","20985","20736","20677",
"2024-03-17 03:35","20840","20702","20677",
"2024-03-17 03:40","20832","20662","20677",
"2024-03-17 03:45","20817","20615","20677",
"2024-03-17 03:50","20936","20583","20677",
"2024-03-17 03:55","20724","20588","20677",
"2024-03-17 04:00","20796","20628","20462",
"2024-03-17 04:05","20752","20672","20462",
"2024-03-17 04:10","20576","20683","20462",
"2024-03-17 04:15","20802","20662","20462",
"2024-03-17 04:20","20792","20630","20462",
"2024-03-17 04:25","20648","20608","20462",
"2024-03-17 04:30","20533","20596","20642",
"2024-03-17 04:35","20463","20592","20642",
"2024-03-17 04:40","20661","20597","20642",
"2024-03-17 04:45","20645","20610","20635",
"2024-03-17 04:50","20560","20616","20635",
"2024-03-17 04:55","20626","20597","20635",
"2024-03-17 05:00","20472","20554","20568",
"2024-03-17 05:05","20611","20517","20568",
"2024-03-17 05:10","20905","20515","20568",
"2024-03-17 05:15","20877","20549","20668",
"2024-03-17 05:20","20827","20599","20668",
"2024-03-17 05:25","20830","20645","20668",
"2024-03-17 05:30","20640","20689","20809",
"2024-03-17 05:35","20690","20728","20809",
"2024-03-17 05:40","20685","20764","20809",
"2024-03-17 05:45","20554","20795","20904",
"2024-03-17 05:50","20754","20838","20904",
"2024-03-17 05:55","20733","20906","20904",
"2024-03-17 06:00","20654","21000","21015",
"2024-03-17 06:05","21024","21090","21015",
"2024-03-17 06:10","21151","21148","21015",
"2024-03-17 06:15","20992","21174","21115",
"2024-03-17 06:20","21101","21188","21115",
"2024-03-17 06:25","21160","21208","21115",
"2024-03-17 06:30","21010","21235","21246",
"2024-03-17 06:35","21076","21264","21246",
"2024-03-17 06:40","21172","21287","21246",
"2024-03-17 06:45","21251","21306","21328",
"2024-03-17 06:50","21514","21326","21328",
"2024-03-17 06:55","21441","21351","21328",
"2024-03-17 07:00","21390","21382","21481",
"2024-03-17 07:05","21418","21413","21481",
"2024-03-17 07:10","21581","21437","21481",
"2024-03-17 07:15","21270","21455","21511",
"2024-03-17 07:20","21578","21469","21511",
"2024-03-17 07:25","21408","21481","21511",
"2024-03-17 07:30","21200","21491","21561",
"2024-03-17 07:35","21337","21510","21561",
"2024-03-17 07:40","21494","21547","21561",
"2024-03-17 07:45","21351","21604","21421",
"2024-03-17 07:50","21314","21640","21421",
"2024-03-17 07:55","21295","21615","21421",
"2024-03-17 08:00","21347","21529","21634",
"2024-03-17 08:05","21531","21450","21634",
"2024-03-17 08:10","21606","21447","21634",
"2024-03-17 08:15","21670","21520","21843",
"2024-03-17 08:20","21765","21625","21843",
"2024-03-17 08:25","21777","21719","21843",
"2024-03-17 08:30","21910","21801","22193",
"2024-03-17 08:35","22154","21877","22193",
"2024-03-17 08:40","22207","21955","22193",
"2024-03-17 08:45","22084","22035","22242",
"2024-03-17 08:50","22186","22128","22242",
"2024-03-17 08:55","22339","22245","22242",
"2024-03-17 09:00","22925","22388","22704",
"2024-03-17 09:05","22621","22529","22704",
"2024-03-17 09:10","22915","22640","22704",
"2024-03-17 09:15","22881","22721","22792",
"2024-03-17 09:20","22816","22791","22792",
"2024-03-17 09:25","22970","22870","22792",
"2024-03-17 09:30","22981","22958","23092",
"2024-03-17 09:35","23258","23039","23092",
"2024-03-17 09:40","23422","23100","23092",
"2024-03-17 09:45","23425","23138","23362",
"2024-03-17 09:50","23220","23194","23362",
"2024-03-17 09:55","23524","23306","23362",
"2024-03-17 10:00","23493","23473","23560",
"2024-03-17 10:05","23539","23633","23560",
"2024-03-17 10:10","23535","23726","23560",
"2024-03-17 10:15","23616","23751","23650",
"2024-03-17 10:20","23559","23747","23650",
"2024-03-17 10:25","23869","23753","23650",
"2024-03-17 10:30","23617","23770","23750",
"2024-03-17 10:35","23699","23791","23750",
"2024-03-17 10:40","23635","23808","23750",
"2024-03-17 10:45","23607","23821","23720",
"2024-03-17 10:50","23727","23822","23720",
"2024-03-17 10:55","23746","23804","23720",
"2024-03-17 11:00","23405","23766","23657",
"2024-03-17 11:05","23669","23728","23657",
"2024-03-17 11:10","23636","23707","23657",
"2024-03-17 11:15","23560","23705","23637",
"2024-03-17 11:20","23602","23707","23637",
"2024-03-17 11:25","23509","23701","23637",
"2024-03-17 11:30","23539","23687","23317",
"2024-03-17 11:35","23300","23677","23317",
"2024-03-17 11:40","23325","23687","23317",
"2024-03-17 11:45","23357","23715","23517",
"2024-03-17 11:50","23262","23723","23517",
"2024-03-17 11:55","23339","23671","23517",
"2024-03-17 12:00","22994","23559","23281",
"2024-03-17 12:05","23214","23451","23281",
"2024-03-17 12:10","23295","23412","23281",
"2024-03-17 12:15","23283","23441","23341",
"2024-03-17 12:20","23400","23495","23341",
"2024-03-17 12:25","23064","23532","23341",
"2024-03-17 12:30","23355","23552","23361",
"2024-03-17 12:35","23351","23572","23361",
"2024-03-17 12:40","23324","23614","23361",
"2024-03-17 12:45","23194","23676","23461",
"2024-03-17 12:50","23286","23722","23461",
"2024-03-17 12:55","23399","23713","23461",
"2024-03-17 13:00","23455","23651","23468",
"2024-03-17 13:05","23507","23588","23468",
"2024-03-17 13:10","23506","23575","23468",
"2024-03-17 13:15","23381","23614","23568",
"2024-03-17 13:20","23645","23671","23568",
"2024-03-17 13:25","23711","23715","23568",
"2024-03-17 13:30","23708","23747","23768",
"2024-03-17 13:35","23835","23765","23768",
"2024-03-17 13:40","23742","23767","23768",
"2024-03-17 13:45","24112","23755","23758",
"2024-03-17 13:50","23962","23760","23758",
"2024-03-17 13:55","24016","23815","23758",
"2024-03-17 14:00","24246","23920","23953",
"2024-03-17 14:05","24034","24014","23953",
"2024-03-17 14:10","24293","24035","23953",
"2024-03-17 14:15","24049","23983","23843",
"2024-03-17 14:20","23739","23900","23843",
"2024-03-17 14:25","23540","23829","23843",
"2024-03-17 14:30","23584","23769","23653",
"2024-03-17 14:35","23680","23710","23653",
"2024-03-17 14:40","23636","23642","23653",
"2024-03-17 14:45","23601","23563","23483",
"2024-03-17 14:50","23247","23485","23483",
"2024-03-17 14:55","23252","23414","23483",
"2024-03-17 15:00","23246","23353","23290",
"2024-03-17 15:05","23217","23296","23290",
"2024-03-17 15:10","23162","23239","23290",
"2024-03-17 15:15","22907","23182","23290",
"2024-03-17 15:20","23049","23125","23290",
"2024-03-17 15:25","22862","23069","23290",
"2024-03-17 15:30","22947","23012","23090",
"2024-03-17 15:35","22928","22966","23090",
"2024-03-17 15:40","23015","22940","23090",
"2024-03-17 15:45","22965","22934","23000",
"2024-03-17 15:50","23046","22911","23000",
"2024-03-17 15:55","22529","22833","23000",
"2024-03-17 16:00","22522","22701","22743",
"2024-03-17 16:05","22738","22577","22743",
"2024-03-17 16:10","22643","22526","22743",
"2024-03-17 16:15","22863","22548","22752",
"2024-03-17 16:20","22689","22600","22752",
"2024-03-17 16:25","22848","22640","22752",
"2024-03-17 16:30","23134","22668","22967",
"2024-03-17 16:35","23213","22697","22967",
"2024-03-17 16:40","23164","22740","22967",
"2024-03-17 16:45","22873","22796","23052",
"2024-03-17 16:50","23048","22855","23052",
"2024-03-17 16:55","23098","22906","23052",
"2024-03-17 17:00","23287","22949","23121",
"2024-03-17 17:05","23278","22994","23121",
"2024-03-17 17:10","23155","23052","23121",
"2024-03-17 17:15","23376","23123","23285",
"2024-03-17 17:20","22476","23201","23285",
"2024-03-17 17:25","","23281","23285",
"2024-03-17 17:30","","23363","23565",
"2024-03-17 17:35","","23456","23565",
"2024-03-17 17:40","","23569","23565",
"2024-03-17 17:45","","23702","22975",
"2024-03-17 17:50","","23829","22975",
"2024-03-17 17:55","","23924","22975",
"2024-03-17 18:00","","23986","26896",
"2024-03-17 18:05","","24058","26896",
"2024-03-17 18:10","","24183","26896",
"2024-03-17 18:15","","24361","25896",
"2024-03-17 18:20","","24568","25896",
"2024-03-17 18:25","","24779","25896",
"2024-03-17 18:30","","24995","24896",
"2024-03-17 18:35","","25214","24896",
"2024-03-17 18:40","","25434","24896",
"2024-03-17 18:45","","25656","24396",
"2024-03-17 18:50","","25896","24396",
"2024-03-17 18:55","","26171","24396",
"2024-03-17 19:00","","26481","26717",
"2024-03-17 19:05","","26790","26717",
"2024-03-17 19:10","","27061","26717",
"2024-03-17 19:15","","27295","26717",
"2024-03-17 19:20","","27512","26717",
"2024-03-17 19:25","","27734","26717",
"2024-03-17 19:30","","27960","26717",
"2024-03-17 19:35","","28172","26717",
"2024-03-17 19:40","","28353","26717",
"2024-03-17 19:45","","28502","26717",
"2024-03-17 19:50","","28664","26717",
"2024-03-17 19:55","","28882","26717",
"2024-03-17 20:00","","29157","28535",
"2024-03-17 20:05","","29418","28535",
"2024-03-17 20:10","","29593","28535",
"2024-03-17 20:15","","29684","28535",
"2024-03-17 20:20","","29734","28535",
"2024-03-17 20:25","","29788","28535",
"2024-03-17 20:30","","29845","28535",
"2024-03-17 20:35","","29888","28535",
"2024-03-17 20:40","","29900","28535",
"2024-03-17 20:45","","29881","28535",
"2024-03-17 20:50","","29860","28535",
"2024-03-17 20:55","","29869","28535",
"2024-03-17 21:00","","29909","28562",
"2024-03-17 21:05","","29936","28562",
"2024-03-17 21:10","","29909","28562",
"2024-03-17 21:15","","29828","28562",
"2024-03-17 21:20","","29723","28562",
"2024-03-17 21:25","","29621","28562",
"2024-03-17 21:30","","29523","28562",
"2024-03-17 21:35","","29418","28562",
"2024-03-17 21:40","","29294","28562",
"2024-03-17 21:45","","29152","28562",
"2024-03-17 21:50","","29011","28562",
"2024-03-17 21:55","","28888","28562",
"2024-03-17 22:00","","28785","26646",
"2024-03-17 22:05","","28675","26646",
"2024-03-17 22:10","","28532","26646",
"2024-03-17 22:15","","28356","26646",
"2024-03-17 22:20","","28164","26646",
"2024-03-17 22:25","","27972","26646",
"2024-03-17 22:30","","27780","26646",
"2024-03-17 22:35","","27588","26646",
"2024-03-17 22:40","","27395","26646",
"2024-03-17 22:45","","27200","26646",
"2024-03-17 22:50","","26998","26646",
"2024-03-17 22:55","","26785","26646",
"2024-03-17 23:00","","26560","24559",
"2024-03-17 23:05","","26337","24559",
"2024-03-17 23:10","","26130","24559",
"2024-03-17 23:15","","25939","24559",
"2024-03-17 23:20","","25757","24559",
"2024-03-17 23:25","","25577","24559",
"2024-03-17 23:30","","25399","24559",
"2024-03-17 23:35","","25228","24559",
"2024-03-17 23:40","","25065","24559",
"2024-03-17 23:45","","24911","24559",
"2024-03-17 23:50","","24758","24559",
"2024-03-17 23:55","","24600","24559",
"2024-03-18 00:00","","24435","22832",
"2024-03-18 00:05","","24274","22832",
"2024-03-18 00:10","","24128","22832",
"2024-03-18 00:15","","23996","22832",
"2024-03-18 00:20","","23870","22832",
"2024-03-18 00:25","","23744","22832",
"2024-03-18 00:30","","23617","22832",
"2024-03-18 00:35","","23493","22832",
"2024-03-18 00:40","","23378","22832",
"2024-03-18 00:45","","23270","22832",
"2024-03-18 00:50","","23161","22832",
"2024-03-18 00:55","","23040","22832",
"2024-03-18 01:00","","22907","21500",
"2024-03-18 01:05","","22779","21500",
"2024-03-18 01:10","","22670","21500",
"2024-03-18 01:15","","22580","21500",
"2024-03-18 01:20","","22501","21500",
"2024-03-18 01:25","","22421","21500",
"2024-03-18 01:30","","22341","21500",
"2024-03-18 01:35","","22264","21500",
"2024-03-18 01:40","","22196","21500",
"2024-03-18 01:45","","22135","21500",
"2024-03-18 01:50","","22075","21500",
"2024-03-18 01:55","","22007","21500",
"2024-03-18 02:00","","21933","20785",
"2024-03-18 02:05","","21861","20785",
"2024-03-18 02:10","","21803","20785",
"2024-03-18 02:15","","21758","20785",
"2024-03-18 02:20","","21720","20785",
"2024-03-18 02:25","","21680","20785",
"2024-03-18 02:30","","21639","20785",
"2024-03-18 02:35","","21601","20785",
"2024-03-18 02:40","","21569","20785",
"2024-03-18 02:45","","21542","20785",
"2024-03-18 02:50","","21515","20785",
"2024-03-18 02:55","","21478","20785",
